Victor-Charles-Paul Dourlen,Victor Dourlen,"Dourlen, Victor",,
Sabin Vasile Dragoi,Sabin Vasile Drăgoi,"Drăgoi, Sabin Vasile ",,
J. F. Drobisch ,Johann Friedrich Drobisch     ,"Drobisch, Johann Friedrich",,
Stanislaw Duniecki,Stanisław Duniecki,"Duniecki, Stanisław",,
E. Dupré ,Eugène Dupré     ,"Dupré, Eugène",,
L. Dupré ,Louis Dupré     ,"Dupré, Louis",,
Mme. Baronne Durand de Fontmagne  ,Marie Caroline Durand de Fontmagne    ,"Durand de Fontmagne, Marie Caroline ",,
Antonín Dvorák,Antonín Dvořák,"Dvořák, Antonín",,
Heinrich Karl Ebell,Heinrich Carl Ebell,"Ebell, Heinrich Carl ",,
Arnaldo dґEspósito ,Arnaldo d'Espósito     ,"Espósito, Arnaldo d'",,
[Sigwart Botho zu Eulenburg] Botho Sigwart ,Botho Sigwart zu Eulenburg     ,"Eulenburg, Botho Sigwart zu",,
Benoit Constant Fauconier,Benoît-Constant Fauconier,"Fauconier, Benoît-Constant ",,
Alberto Favara Mistretta ,Alberto Favara     ,"Favara, Alberto",,
G. Febvre ,Gustave Febvre     ,"Febvre, Gustave",,
D. Feinsinger ,D.-R. Feinsinger     ,"Feinsinger, D.-R.",,
Vaclav Felix,Václav Felix,"Felix, Václav",,
François Joseph Fétis ,François-Joseph Fétis     ,"Fétis, François-Joseph",,
Zdenek Fibich,Zdeněk Fibich,"Fibich, Zdeněk",,
Viliam Figus,Viliam Figuš-Bystrý,"Figuš-Bystrý, Viliam",,
Hippolyte Honoré de Fontmichel,Hippolyte de Fontmichel,"Fontmichel, Hippolyte de ",,
A. Fornasari,Antonio Fornasari,"Fornasari, Antonio",,
Georges Auguste Fragerolle,Georges Fragerolle,"Fragerolle, Georges",,
Tibor Freso,Tibor Frešo,"Frešo, Tibor",,
Kresimir Fribec,Krešimir Fribec,"Fribec, Krešimir",,
J. G. A. Fritzschen ,Johann Gottlieb August Fritzschen     ,"Fritzschen, Johann Gottlieb August",,
__ Froment ,__ Fromant     ,"Fromant, __",,
Pierre Christophe Charles Galibert ,Pierre-Christophe-Charles Galibert     ,"Galibert, Pierre-Christophe-Charles",,
Léon Gustave Cyprien Gastinel,Léon Gastinel,"Gastinel, Léon",,
Léon-Gustave-Cyprien Gastinel,Léon Gastinel,"Gastinel, Léon",,
__ Gherzi ,Delfina Gherzi     ,"Gherzi, Delfina",,
__ Gilloux,I. Gilloux,"Gilloux, I. ",,
