Bogdan Caus,[Arșag Bogosian] Bogdan Căuș,"Căuș, Bogdan [Arșag Bogosian]",,
Svatopluk Cech,Svatopluk Čech,"Čech, Svatopluk",,
[G. Delafontaine] Gédhé ,[Georges Delafontaine] Céhem-Gédhé     ,"Céhem-Gédhé, [Georges Delafontaine]",,
Ludvík Celanský,Ludvík Čelanský,"Čelanský, Ludvík",,
L. Cernol ,Louis Cernol     ,"Cernol, Louis",,
Marie Cervinková-Riegrová,Marie Červinková-Riegrová,"Červinková-Riegrová, Marie",,
B. Chaillou ,Claude-Étienne Chaillou des Barres,"Chaillou des Barres, Claude-Étienne",,
Fabrice de Champville ,Gustave-Fabius de Champville     ,"Champville, Gustave-Fabius de",,
H. Chanteclair ,Henry Chanteclair     ,"Chanteclair, Henry",,
Daniel Paul Chappuzeau de Beaugé ,Daniel-Paul Chappuzeau de Beaugé     ,"Chappuzeau de Beaugé, Daniel-Paul",,
François René de Chateaubriand,François-René de Chateaubriand,"Chateaubriand, François-René de ",,
René-André-Polydore Alissan de Chazet ,René de Chazet     ,"Chazet, René de",,
Jan Checinski,Jan Chęciński,"Chęciński, Jan",,
Czeslaw Chruszczewski,Czesław Chruszczewski,"Chruszczewski, Czesław",,
Nicusor Constantinescu,Nicușor Constantinescu,"Constantinescu, Nicușor",,
Svetozar Corovic,Svetozar Ćorović,"Ćorović, Svetozar",,
__ Corrard ,Georges Corrard     ,"Corrard, Georges",,
Jean-François-Jacques Corsange de la Plante ,Jean-François-Jacques Corsange de La Plante,"Corsange de La Plante, Jean-François-Jacques",,
S. B. de Courpon ,Sophie Bouvet de Courpon     ,"Courpon, Sophie Bouvet de",,
__ Courtier ,Edmond Courtier     ,"Courtier, Edmond",,
Ion Creanga,Ion Creangă,"Creangă, Ion",,
Augustin-François Creuzé de Lesser ,Auguste Creuzé de Lesser      ,"Creuzé de Lesser, Auguste",,
Václav Ctvrtek,[Václav Cafourek] Václav Čtvrtek ,"Čtvrtek, Václav [Václav Cafourek]",,
G. Cuvelard ,Georges Cuvelard     ,"Cuvelard, Georges",,
Jean-Guillaume-August Cuvelier de Trie ,Jean-Guillaume-Antoine Cuvelier     ,"Cuvelier, Jean-Guillaume-Antoine",,
Henryk Czyz,Henryk Czyż,"Czyż, Henryk",,
Oldrich Danek,Oldřich Daněk,"Daněk, Oldřich",,
Oskar Davico,Oskar Davičo,"Davičo, Oskar",,
Deak Tamás,Tamás Deak,"Deak, Tamás",,
Stevan Decanski,Stefan Dečanski,"Dečanski, Stefan",,
Ivan Dezman,Ivan Dežman,"Dežman, Ivan",,
Stanislaw Doliwa Starzynski,Stanisław Doliwa Starzyński,"Doliwa Starzyński, Stanisław",,
__ Dondorf ,__ Donndorf     ,"Donndorf, __",,
Jovan Djordjevic,Jovan Đorđević,"Đorđević, Jovan",,
Frantisek Doubrava,František Doubrava,"Doubrava, František",,
Sabin Vasile Dragoi,Sabin Vasile Drăgoi,"Drăgoi, Sabin Vasile ",,
Marin Drzic,Marin Držić,"Držić, Marin",,
Marie-François-Louis Gand Leblanc du Roullet ,François-Louis Gand Le Bland Du Roullet     ,"Du Roullet, François-Louis Gand Le Bland",,
Eduard Dubsky,Eduard Dubský,"Dubský, Eduard",,
Vladimír Dubsky,Vladimír Dubský,"Dubský, Vladimír",,
Henri-François-Élisabeth-Étienne Orcel Dumolard ,Henri-François Dumolard     ,"Dumolard, Henri-François",,
Pawel Duniecki,Paweł Duniecki,"Duniecki, Paweł",,
Stanislaw Duniecki,Stanisław Duniecki,"Duniecki, Stanisław",,
Duplat de Monticourt ,Jean-François Duplat de Monticourt     ,"Duplat de Monticourt, Jean-François",,
Pierre-Antoine Duprat de la Touloubre ,Pierre-Antoine Duprat de Latouloubre     ,"Duprat de Latouloubre, Pierre-Antoine",,
Barnabé Farmian de Rosoi ,Barnabé Farmian Durosoy     ,"Durosoy, Barnabé Farmian",,
 __ Echof ,Conrad Ekhof     ,"Ekhof, Conrad",,
Joseph Alphonse d'Esménard ,Joseph Esménard     ,"Esménard, Joseph",,
[Sigwart Botho zu Eulenburg] Botho Sigwart ,Botho Sigwart zu Eulenburg     ,"Eulenburg, Botho Sigwart zu",,
[Philippe-François Nazaire Fabre] Fabre d'Églantine ,[Philippe-François-Nazaire Fabre] Fabre d'Églantine,"Fabre d'Églantine, [Philippe-François-Nazaire Fabre]",,
François de Salignac de La Mothe-Fénelon,François de Fénelon,"Fénelon, François de ",,
Charles-Georges Fenouillot de Falbaire ,Charles-Georges Fenouillot de Falbaire de Quingey,"Fenouillot de Falbaire de Quingey, Charles-Georges",,
Lucien Février ,L. Février     ,"Février, L.",,
Antonio da Fineschi Radda,Antonio Fineschi Radda,"Fineschi Radda, Antonio",,
M. E. Fischer ,Max Eduard Fischer     ,"Fischer, Max Eduard",,
Alexander Fredro,Aleksander Fredro,"Fredro, Aleksander",,
Kresimir Fribec,Krešimir Fribec,"Fribec, Krešimir",,
J. W. Fügemann ,F. L. Fügemann     ,"Fügemann, F. L.",,
Konstanty Ildefons Galczynski,Konstanty Ildefons Gałczyński,"Gałczyński, Konstanty Ildefons ",,
Nikolae Gane,Nicolae Gane,"Gane, Nicolae",,
C. Ghinea ,Constantin Ghinea     ,"Ghinea, Constantin",,
Milovan Glisic,Milovan Glišić,"Glišić, Milovan",,
D. Gordon ,Diane Gordon    ,"Gordon, Diane",,
Bronislaw Grabowski,Bronisław Grabowski,"Grabowski, Bronisław",,
C. Grünbaum ,Johann Christoph Grünbaum     ,"Grünbaum, Johann Christoph",,
Alphonse de Guézennec de Bréhat ,Alfred de Guézennec de Bréhat     ,"Guézennec de Bréhat, Alfred de",,
Ivan Gundulic,Ivan Gundulić,"Gundulić, Ivan",,
Júlis Gyermek,Július Gyermek,"Gyermek, Július",,
Fadil Hadzic,Fadil Hadžić,"Hadžić, Fadil",,
Víteslav Hálek,Vítězslav Hálek,"Hálek, Vítězslav",,
Jan Hanus,Jan Hanuš,"Hanuš, Jan",,
August Harambasic,August Harambašić,"Harambašić, August",,
F. Hartmann  ,Franz Hartmann     ,"Hartmann, Franz",,
H. Hartung ,Hermann Johann Friedrich Hartung,"Hartung, Hermann Johann Friedrich",,
Henriлtte Heinze-Berg,Henriëtte Heinze-Berg,"Heinze-Berg, Henriëtte",,
Friedrich Wilhlem Alexander Held ,Friedrich Wilhelm Alexander Held     ,"Held, Friedrich Wilhelm Alexander",,
Ion Eliade Radulescu,Ion Heliade-Rădulescu,"Heliade-Rădulescu, Ion",,
Johann Gottfried Herder ,Johann Gottfried von Herder     ,"Herder, Johann Gottfried von",,
A. Herolasek ,Arno Herolaska     ,"Herolaska, Arno",,
